Sample_ID,hsa.miR.148a.3p,hsa.let.7g.5p,hsa.let.7f.5p,hsa.miR.30a.5p,hsa.miR.146b.5p,hsa.miR.200a.3p,hsa.miR.3168,hsa.miR.99b.5p,hsa.miR.23a.3p,hsa.miR.671.3p,hsa.miR.30d.5p,hsa.let.7b.5p,hsa.let.7i.5p,hsa.miR.26a.5p,hsa.miR.21.5p,hsa.let.7a.5p,hsa.miR.99a.5p,hsa.miR.200c.3p,hsa.miR.151a.3p,hsa.miR.423.5p,hsa.miR.200a.5p,hsa.miR.378a.3p,hsa.miR.146a.5p,hsa.miR.141.3p,hsa.miR.25.3p,hsa.miR.200b.3p,hsa.miR.125b.5p,hsa.miR.22.3p,hsa.miR.183.5p,hsa.miR.27a.3p,hsa.miR.224.5p,hsa.miR.143.3p,hsa.miR.193a.5p,hsa.miR.30c.5p,hsa.miR.152.3p,hsa.miR.30a.3p,hsa.miR.423.3p,hsa.miR.27a.5p,hsa.miR.342.3p,hsa.miR.30b.5p,hsa.miR.24.3p,hsa.miR.186.5p,hsa.miR.1246,hsa.miR.744.5p,hsa.miR.222.3p,hsa.miR.320a,hsa.miR.101.3p,hsa.let.7c.5p,hsa.miR.335.3p,hsa.let.7e.5p,hsa.miR.511.5p,hsa.miR.30e.5p,hsa.miR.29c.5p,hsa.miR.375,hsa.miR.532.5p,hsa.miR.30e.3p,hsa.miR.27b.3p,hsa.miR.181a.5p,hsa.miR.191.5p,hsa.miR.182.5p,hsa.miR.92a.3p,hsa.miR.429,hsa.miR.26b.5p,hsa.miR.125a.5p,hsa.miR.181b.5p,hsa.miR.1307.3p,hsa.miR.148b.3p,hsa.miR.28.3p,hsa.miR.29a.3p,hsa.let.7d.5p,hsa.miR.361.3p,hsa.miR.23b.3p,hsa.miR.100.5p,hsa.miR.3615,hsa.let.7d.3p,hsa.miR.98.5p,hsa.miR.103a.3p,hsa.miR.499a.5p,hsa.miR.200b.5p,hsa.miR.7.5p,hsa.miR.146b.3p,hsa.miR.205.5p,hsa.miR.365a.3p.hsa.miR.365b.3p,hsa.miR.484,hsa.miR.148a.5p,hsa.miR.99b.3p,hsa.miR.193b.3p,hsa.miR.941,hsa.miR.10a.5p,hsa.miR.125b.2.3p,hsa.miR.128.3p,hsa.miR.22.5p,hsa.miR.374b.5p,hsa.miR.197.3p,hsa.miR.340.5p,hsa.miR.664a.5p,hsa.miR.140.3p,hsa.miR.3182,hsa.miR.16.5p,hsa.miR.1260b,hsa.miR.181a.2.3p,hsa.miR.885.5p,hsa.miR.652.3p,hsa.miR.345.5p,hsa.miR.196a.5p,hsa.miR.192.5p,hsa.miR.335.5p,hsa.miR.106b.3p,hsa.miR.425.5p,hsa.miR.193a.3p,hsa.miR.6510.3p,hsa.miR.664a.3p,hsa.miR.221.3p,hsa.miR.378d,hsa.miR.195.5p,hsa.miR.92b.3p,hsa.miR.361.5p,hsa.miR.339.5p,hsa.miR.421,hsa.miR.4443,hsa.miR.452.5p,hsa.mir.378c,hsa.miR.218.5p,hsa.miR.28.5p,hsa.miR.326,hsa.let.7b.3p,hsa.miR.20a.5p,hsa.miR.93.5p,hsa.miR.328.3p,hsa.miR.374a.5p,hsa.miR.148b.5p,hsa.miR.339.3p,hsa.miR.181a.3p,hsa.miR.1287.5p,hsa.miR.331.3p,hsa.miR.107,hsa.miR.320b,hsa.miR.30d.3p,hsa.miR.576.5p,hsa.miR.589.5p,hsa.miR.187.3p,hsa.miR.425.3p,hsa.miR.150.5p,hsa.miR.574.3p,hsa.miR.7706,hsa.miR.629.5p,hsa.miR.378c,hsa.miR.147b,hsa.miR.2110,hsa.miR.16.2.3p,hsa.miR.29b.3p,hsa.miR.574.5p,hsa.miR.210.3p,hsa.miR.30c.2.3p,hsa.miR.1301.3p,hsa.miR.1299,hsa.miR.29c.3p,hsa.let.7a.3p,hsa.miR.195.3p,hsa.miR.155.5p,hsa.miR.769.5p,hsa.miR.501.3p,hsa.miR.184,hsa.miR.760,hsa.miR.17.5p,hsa.miR.96.5p,hsa.miR.378g,hsa.miR.19b.3p,hsa.miR.130b.3p,hsa.miR.185.5p,hsa.miR.378e,hsa.miR.340.3p,hsa.miR.1307.5p,hsa.miR.221.5p,hsa.miR.190b,hsa.miR.193b.5p,hsa.miR.365b.5p,hsa.miR.194.5p,hsa.miR.196b.5p,hsa.miR.135a.5p,hsa.miR.106b.5p,hsa.miR.125a.3p,hsa.miR.203a.3p,hsa.miR.885.3p,hsa.miR.598.3p,hsa.miR.223.5p,hsa.miR.1303,hsa.miR.15b.5p,hsa.miR.320c,hsa.miR.199a.3p.hsa.miR.199b.3p,hsa.miR.378f,hsa.miR.320d,hsa.let.7f.1.3p,hsa.miR.324.3p,hsa.miR.342.5p,hsa.mir.30c.2,hsa.miR.24.2.5p,hsa.mir.30c.1,hsa.miR.223.3p,hsa.miR.330.3p,hsa.mir.320b.1,hsa.miR.500a.3p,hsa.mir.320b.2,hsa.mir.320a,hsa.miR.502.3p,hsa.miR.181d.5p,hsa.miR.660.5p,hsa.miR.4429,hsa.miR.511.3p
MOM.149,227226,16086,11084,10417,36318,18434,22,661,660,0,10630,14197,6718,12279,3425,11679,9026,5706,6097,3799,1385,2738.83333333333,952,1189,917,6648,262,3478,1038,1280,551,395,471,1184,311,1287,709,69,55,2497.33333333333,980,730,10,45,39,3105.75,827,2838,145,76,2422,561,50,4124,174,702,1259,1938,2028,1488,1079,1436,616,138,612,216,660,338,865,480,708,280,99,266,171,195,190,683,113,55,203,139,114,177,539,82,418,59,716,157,42,487,125.5,54,181,97,173,131,77,16,118,181,43,185,124,142,80,68,123,19,39,53,123,59.8333333333333,11,53,41,36,10,116,13,56.3333333333333,11,15,11,35,27,78,15,56,13,58,13,64,6,31,95.75,60,8,26,49,82,5,194,11,72,22,0,21,18,12,18,38,15,5,0,38,72,34,19,12,34,8,9,26,66,10,37,21,25,15,40,26,23,8,38,7,22,2,20,44,34,38,42,30,14,13,7,46.55,16,14,27.7166666666667,30,2,21,1.33333333333333,10,1.33333333333333,40,2,1.96666666666667,8,1.96666666666667,1.96666666666667,10,0,19,11,12
MOM.057,182299,7735,5521,5198,10866,7903,7,408,965,0,3378,6474,4958,5694,5088,4820,4103,1585,2385,1019,492,1206.66666666667,404,485,1024,1856,105,1507,590,1355,529,606,199,484,241,539,473,143,35,959.333333333333,694,201,31,47,70,1001.66666666667,711,811,185,63,634,359,7,893,149,210,631,919,570,479,649,465,380,106,369,117,633,201,573,219,349,178,207,91,66,141,69.5,350,29,25,66,167,98,109,149,66,254,22,155,64,46,226,26,50,103,39,225,150,52,9,51,96,16,58,44,44,67,53,42,12,27,24,122,36.4166666666667,41,47,34,9,14,37,33,17.4166666666667,16,10,0,16,9,63,27,22,18,12,21,27,10,11.5,67.6666666666667,10,8,24,10,15,4,49,0,74,12,17,4,3,2,22,9,1,5,174,23,29,10,73,11,28,5,0,9,16,10,9,5,21,8.75,8,11,17,1,4,0,2,1,5,22,10,16,0,13,243,1,18,17.5,36,5,4.43333333333333,2,12,2,0.333333333333333,1,8.33333333333333,1295,1,1.6,27,1.93333333333333,1.6,17,4,17,1,15
MOM.180,64197,6754,9513,5381,35215,6738,15,892,5468.5,18,9106,18866,26465,11322,63671,14128,5392,4184,3870,5754,498,5971.16666666667,33501,465,2133,4709,194,5711,408,5318,343,536,1448,518,369,890,897,1325,128,161,4678,796,178,365,473,5550.66666666667,1144,2413,94,133,422,692,26,2225,1850,948,1352,2216,1215,833,1172,254,596,236,627,688,1619,1104,655,578,1359,409.5,380,46,246,158,231.5,180,61,124,271,952,1,51,71,89,60,168,600,45,198,368,130,41,586,126,1855,60,268,0,127,8,197,89,30,226,217,421,97,6,13,32,1119,105.416666666667,5,36,133,106,41,100,22,126.916666666667,403,37,37,16,104,120,89,11,0,106,69,22,34,16.5,614.666666666667,12,0,73,9,88,137,85,44,1120,23,60,40,82,0,55,97,52,83,978,6,34,26,608,87,143,0,35,46.5,20,65,33,28,693,26.25,29,0,78,0,29,13,25,16,0,11,23,176,0,16,484,43,25,198.883333333333,12,17,93.75,21,18,288,1,26,1,168,24,16.7166666666667,177,6.75,16.6666666666667,94,77,51,14,4
MOM.188,215149,37365,19271,20592.5,39228,35199,3,1478,1304,11,28209.5,18858,26704,13964,7148,12662.5,8866,8186,5961,1308,1288,806.833333333333,438,1898,1317,8743,1242,3071,901,1470,1154,255,1007,1520,1038,576,465,261,114,3401.83333333333,1031,649,2,59,98,685.083333333333,2218,2924.5,389,129,1209,789,79,7176,157,387,1570,1999,2435,2107,1642,1460,1583,715,739,709,1539,362,1216,590,559,416,743,141,254,449,396,480,191,217,257,260,341,90,271,161,211,35,1040,156,69,231,297,191,145,161,193,197,227,125,129,142,127,70,171,90,115,97,84,111,4,136,154,49.8333333333333,51,43,60,44,61,18,129,1.33333333333333,49,16,45,24,76,70,39,45,56,33,16,39,72,66,35.0833333333333,44,19,15,98,41,11,67,13,28,13,35,6,34,68,35,40,4,22,21,65,35,29,37,23,28,23,12,23,35,5,53,21,48,2,11,17,33,25,4,2,22,44,17,66,23,47,17,40,55,4,2,10.9333333333333,14,3,8.6,10,23,15,4.33333333333333,21,38.8333333333333,12,5,1.35,24,1.1,0.85,27,9,20,0,13
MOM.098,219714,12565,3637,8915,15524,17982,8,1156,915,5,10404,10492,7127,9242,3368,4196,11441,2589,4720,2784,645,1748.33333333333,1035,751,1291,3452,651,3218,707,1265,1273,448,1218,1069,441,637,825,80,40,1709.33333333333,1183,291,13,38,94,2872.75,704,901,288,23,2014,437,43,4392,164,265,622,2662,1843,932,1043,765,275,346,962,452,725,360,1196,246,383,273,189,186,231,68,92.5,216,185,68,142,228,136,148,176,142,275,49,483,135,81,311,89,176,58,100,177,87,49,3,115,225,25,57,21,148,130,101,44,92,46,46,111,34.3333333333333,13,31,22,31,21,48,31,41.8333333333333,30,4,22,79,41,74,51,10,30,34,28,30,27,32.5,110.75,5,5,8,51,28,57,140,17,88,16,9,11,31,44,31,3,7,7,27,33,27,1,33,13,46,18,14,21.5,12,11,33,11,18,20.5,8,16,4,22,45,15,0,13,0,10,29,16,13,48,65,8,21,26.95,8,10,10.95,0,39,28,3.33333333333333,35,17.3333333333333,200,0,2.2,2,2.2,2.2,22.5,33,15,10,2
MOM.108,273588,20838,4657,14581,20042,17279,1,733,1148,8,11280,4667,8592,5890,5256,1854.5,6565,1841,3936,758,684,1329,752,1361,796,2152,367,2257,826,1013.5,341,205,420,1287,650,342,369,74,107,3567,849,474,0,24,31,346.5,1979,522.5,171,26,702,672,39,3645,104,243,930.5,1042,1778,1626,938,1081,660,266,435,290,1519,302,1260,118,273,312,187,169,131,112,161,571,97,84,110,179,176,97,282,112,283,25,988,102,26,256,113.5,240,128,78,284,108,77,24,60,116,41,91,84,97.5,86,58,28,357,11,44,60,39.1666666666667,36,53,47,24,42,2,24,59.9666666666667,31,9,55,70,46,51,11,40,36,38,18,28,15,63,15.5,12,38,23,55,44,17,92,8,27,18,31,5,14,47,34,13,11,5,6,73,49,14,8,13,18,8,7,15,18,9,56,10,25,3.8,12,21,5,8,14,6,5,7,12,96,4,20,1,23,34,1,6,6.48333333333333,29,2,4.0547619047619,20,11,2,31.5,3,3.5,85,8,1.97142857142857,15,2.22142857142857,2.55476190476191,15,7,22,4,18
MOM.079,98826,5421,8137,5310,16617,12377,11,791,1331.5,2,5636,11246,8421,13835,24598,9569,6510,4314,3426,2026,559,1623.33333333333,2742,890,762,4468,249,1946,275,2538,289,1211,625,940,265,1046,336,325,125,570.833333333333,1048,355,47,93,144,2385.66666666667,1241,2187,95,100,424,311,6,2279,273,780,1414,1749,859,542,808,472,691,261,365,128,539,426,815,425,427,355.5,193,45,96,123,136,262,89,58,182,717,34,46,83,36,40,16,1757,53,159,148,75,62,138,49,505,69,55,10,81,23,48,40,53,151,86,67,47,15,18,14,155,32.0833333333333,40,16,20,38,0,3,7,20.0833333333333,51,27,0,22,58,73,16,44,16,22,19,14,12,17,168.666666666667,17,0,5,19,37,103,54,23,134,7,7,27,31,55,0,16,58,3,229,18,53,24,143,23,14,28,1,5,28,9,26,23,64,13.25,32,16,16,4,21,0,8,1,29,10,20,78,17,13,55,7,8,48.4666666666667,4,8,19,5,4,45,2.83333333333333,25,1.33333333333333,91,6,5.5,38,5.5,1,18,25,30,7,3
MOM.132,48355,1783,764,1198,4218,2491,19,350,167.5,12,3289,4634,1050,1595,595,1485,2146,728,1305,1230,158,328.5,91,132,308,498,111,1480,295,382,326,223,406,280,44,161,435,54,4,162,282,86,1,1,26,910.75,93,353,91,15,1135,86,6,1853,55,33,186,500,524,292,441,221,23,127,228,160,116,88,126,60,31,54.5,23,51,69,17,18.5,70,29,28,6,52,22,48,40,35,50,4,222,13,129,70,3,26,6,22,52,88,5,6,31,73,0,34,31,37,7,10,13,7,15,15,34,12.5,0,26,7,15,4,77,9,12,0,2,4,9,0,14,13,0,3,4,0,10,17,6.5,29.75,0,1,10,39,19,0,19,5,21,1,0,4,11,0,20,0,0,0,1,0,4,16,0,9,5,8,10,0,0,1,10,13,13,0,0,4,0,0,20,3,0,0,8,0,4,7,0,3,3,0,0,10.65,5,1,6.65,20,7,13,0,0,0,13,10,4.4,1,4.4,4.4,1,0,0,4,0
MOM.137,223065,14173,3879,7128.5,25712,13671,19,1057,1005.5,26,10442.5,10264,8679,4869,2512,4235,7330,2336,4487,1612,757,2265.66666666667,615,715,1200,1982,373,2544,660,1244.5,1031,500,890,1081,248,563,887,126,75,1222.5,811,338,1,59,147,1329.41666666667,610,987,295,35,1705,421,11,3919,181,326,664.5,1686,1609,893,1199,625,247,319,530,325,718,391,795,206,326,265.5,215,320,202,139,82.5,191,108,48,177,327,183,182,222,115,359,58,425,118,159,278,84,113,87,114,201,160,85,9,74,71,31,86,16,101.5,89,101,56,84,43,44,42,48.6666666666667,0,30,14,34,5,16,71,44.6666666666667,15,18,29,68,20,63,13,12,30,30,38,24,11,23.5,43.4166666666667,18,45,5,20,30,16,122,33,26,17,23,24,17,19,28,1,10,16,8,18,27,32,39,0,25,6,12,0,13,8,11,17,11,12,10,10,4,20,35,14,0,0,1,14,11,23,10,31,36,13,6,15.1166666666667,16,13,1.45,16,4,43,21,21,0.5,9,4,1.2,10.5,1.2,1.2,22,26,3,1,10
MOM.134,213162,8538,7835,6193,30916,19755,33,991,306,20,11576,13013,3527,7870,2287,10930,5784,5827,5831,2610,1387,1608.66666666667,547,706,1218,6986,174,2566,1265,1218.5,289,417,537,743,355,967,804,28,41,1012.16666666667,550,599,3,23,116,2086.91666666667,600,1824,189,195,3747,480,47,4729,56,632,933.5,1463,1587,1378,795,1155,402,289,343,360,652,230,420,311,651,182,200,238,114,137,99.5,625,114,91,122,113,59,112,302,136,168,37,822,60,93,275,68,26,76,27,44,67,48,2,182,76,50,84,143,51,36,84,70,15,26,11,133,40.5,27,45,16,15,19,32,12,12.5,17,29,10,30,18,100,13,18,16,30,29,36,0,30.5,45.9166666666667,24,0,11,99,9,0,112,9,24,22,0,17,25,15,12,6,26,0,111,1,18,13,28,33,24,1,5,13,21,5,15,4,13,11.8333333333333,20,16,13,4,25,8,0,8,35,14,25,42,0,4,8,39,0,10.6166666666667,15,4,25.0928571428571,13,11,25,0.666666666666667,3,11.1666666666667,8,16,2.34285714285714,7.5,2.34285714285714,2.34285714285714,2.5,0,8,2,18
MOM.065,399805,43049,9581,21512.5,37816,30334,8,1585,1278,6,30441.5,15307,14888,10159,3150,6463,11590,5736,7234,1914,1544,4915,774,1217,1807,6010,785,4238,1967,1174,806,318,806,1999,435,905,1083,121,156,4060.5,1044,391,6,57,281,1165.16666666667,1068,1365,349,122,2649,812,66,6748,138,450,1135,1939,3433,3844,2420,1584,854,570,745,1017,1686,509,941,384,354,431,300,391,267,236,167.5,560,169,168,305,188,288,185,429,185,426,74,362,237,95,414,239,510,154,105,315,188,130,124,144,298,136,170,50,152.5,116,130,103,315,15,137,204,138.5,60,61,68,64,26,5,28,65.5,99,5,81,89,67,117,27,35,15,63,46,44,53,44.5,61.1666666666667,41,42,57,138,33,32,145,34,48,64,25,1,84,22,32,14,14,32,128,54,44,21,35,48,23,9,14,20,49,19,41,20,45,24,0,0,49,41,11,31,16,2,8,79,6,14,21,18,55,9,24,23.8666666666667,32,27,4.2,30,13,41,40.5,8,1,37,26,0.2,15,1.7,1.7,10,1,20,4,68
MOM.059,180893,8883,5569,5785,22355,13135,24,657,982.5,10,8818,7545,5081,6306,3481,4017.5,5221,4332,3744,1223,653,1094,894,784,840,3632,278,2090,772,1042,507,978,472,807,257,792,562,87,40,679,553,342,19,42,113,1398.66666666667,791,811.5,204,66,2244,318,50,4431,138,376,770,1179,1054,941,1160,859,306,175,446,245,580,248,660,171,317,338.5,201,154,119,155,131,237,122,70,136,221,89,82,130,65,118,25,503,103,140,313,97,66,129,83,228,68,46,11,66,48,47,66,42,78,29,82,47,31,13,28,38,42,9,21,34,33,8,19,20,68,4,7,31,39,23,39,55,29,12,27,12,16,23,17,43.6666666666667,21,2,17,32,19,22,93,13,51,21,14,15,19,16,7,7,2,5,14,11,54,0,27,11,24,5,6,9,23,7,10,0,10,3,15,2,9,4,8,6,4,14,1,7,24,5,10,35,133,5,6,24.2666666666667,55,2,7.74285714285714,5,2,3,0,20,0,353,11,4.74285714285714,5.5,4.74285714285714,4.74285714285714,5.5,16,4,2,11
MOM.141,337976,10044,4013,5449.5,27827,14504,31,1003,1042,18,9075.5,8993,4409,7264,1805,5292.5,13466,3680,5095,3572,1493,2864.16666666667,878,478,1602,5018,283,3741,1380,1160.5,881,223,564,994,409,1243,1036,20,90,1621.33333333333,884,760,7,40,64,2461,529,1994.5,366,84,3036,367,49,5731,233,651,878.5,1815,1994,1849,1008,1049,281,276,423,279,701,349,551,327,659,242,301,282,180,150,136,245,222,61,198,328,76,132,491,57,371,41,4495,212,157,435,40.5,35,68,70,81,85,36,15,145,178,41,135,107,76.5,32,54,67,18,25,13,29,35.1666666666667,4,27,29,27,35,27,12,17.6666666666667,0,28,4,53,3,56,11,7,4,36,41,27,27,4,84,16,0,28,71,82,0,109,21,79,17,15,16,41,6,9,8,29,0,0,32,33,17,4,16,46,37,0,10,32,10,7,8,0,18,29,29,2,10,75,0,7,8,14,21,26,16,12,18,37,6,34,20.8,0,14,13.8,28,18,12,0.833333333333333,18,0.833333333333333,20,2,0.8,21.5,0.8,0.8,3.5,18,19,2,23
MOM.181,84753,2026,933,1521.5,13765,4705,48,690,69.5,9,5351.5,7987,1214,2664,554,2093.5,3283,2002,2226,1644,330,463.666666666667,165,181,470,1674,230,1710,698,222,192,218,462,333,30,331,829,2,0,62,216,91,0,12,53,1109.83333333333,218,908.5,154,17,1975,77,12,3721,130,186,167,902,775,451,609,338,33,411,261,263,137,103,149,100,49,21.5,74,196,80,32,15.5,139,84,45,86,32,22,50,83,64,27,19,653,58,190,81,25,63,24,18,26,476,10,0,48,123,0,0,35,64,0,46,4,13,35,0,12,3.66666666666667,5,32,0,8,4,65,9,3.66666666666667,0,16,19,18,7,7,22,9,2,10,0,4,7,0.5,51.8333333333333,0,7,16,43,21,4,45,33,14,2,0,2,0,6,6,0,8,1,0,0,10,0,13,10,23,5,9,1,0,7,4,7,10,3,7,0,14,13,0,5,0,14,0,0,13,28,0,0,3,0,0,9.33333333333333,14,1,2,11,0,35,3,6,3,5,23,0,0,0,0,0,11,0,2,0
MOM.144,278750,26451,6134,13336.5,17411,23856,8,1016,1191.5,9,15995.5,10220,8029,8296,3421,4165.5,10637,3222,5362,1480,1368,2360,490,1629,1204,3500,576,3227,1052,1523.5,656,312,642,1505,253,496,692,51,59,3028.16666666667,1085,512,1,52,100,1010.08333333333,1779,1093.5,276,31,1716,786,104,4086,85,334,1142.5,1973,2501,1906,1426,1431,811,352,730,394,1005,347,830,176,263,395.5,180,209,194,135,157,851,92,78,86,145,159,185,361,216,200,75,621,166,108,401,155.5,222,208,81,242,154,65,32,81,297,87,107,39,132,46,75,34,315,13,74,188,86,55,31,34,43,50,23,34,62,54,15,43,46,51,57,36,20,48,62,13,52,26,45,29.0833333333333,46,31,13,40,27,17,114,6,30,26,11,29,33,25,18,16,1,8,707,60,86,59,25,13,23,5,4,15,26,10,30,5,13,6,1,4,11,18,14,10,10,5,17,29,8,7,4,26,16,21,20,8.98333333333333,15,7,11.2214285714286,0,31,5,2.16666666666667,24,3.66666666666667,11,13,1.97142857142857,4,1.97142857142857,1.97142857142857,8,19,7,1,34
MOM.170,252397,8281,3852,5902.5,34523,15488,24,1699,617.5,11,17237.5,20437,11913,9472,3136,7932.5,10022,6894,6202,4235,1252,1618.66666666667,425,687,1665,6068,935,3730,1090,1282,1322,1690,1236,1343,468,872,917,75,95,1048,966,355,3,102,169,2552.25,505,2497.5,388,78,4302,448,2,3134,83,481,653,2202,2415,1803,1293,885,265,755,890,1086,653,456,525,415,461,277.5,601,282,311,114,157.5,545,104,129,171,309,91,208,187,138,173,86,411,107,245,241,70,228,21,133,60,248,41,41,108,296,35,74,82,128.5,39,47,89,97,44,38,56,36.1666666666667,0,28,8,10,40,140,28,41.1666666666667,40,32,1,45,21,26,22,6,14,91,26,8,14,24.5,98.25,32,16,0,43,26,51,83,37,33,17,0,20,30,18,9,19,5,13,268,30,9,26,40,0,67,10,0,0,28,11,8,5,15,3,28,14,6,0,52,37,0,6,4,0,16,27,37,24,11,11,0,21.25,26,7,23.25,22,5,13,0,11,0,0,3,3,14,3,3,14,9,0,4,7
MOM.086,177674,40278,8118,23967.5,29514,43221,1,1139,1161,9,19075.5,8679,12373,7486,8676,3895.5,8346,3442,3987,900,789,2384.83333333333,1404,3177,958,4930,588,2630,913,1644,727,112,754,1494,942,292,398,45,126,5901.16666666667,1034,623,2,34,82,345.666666666667,2865,1159.5,439,28,275,1215,86,3544,105,186,1289,1539,2301,2422,972,1846,1643,454,859,300,2361,265,1545,181,316,354,326,104,198,264,355,1251,136,196,150,230,341,83,241,233,331,56,550,139,45,312,210.5,185,239,98,278,70,247,14,113,138,129,113,87,153,180,71,88,644,22,40,63,66.4166666666667,80,36,45,60,52,7,139,57.9166666666667,115,23,59,35,82,113,44,102,33,74,35,38,23,147,18.6666666666667,22,29,23,21,54,9,43,2,16,42,21,7,19,53,56,49,10,7,560,151,72,9,11,21,22,7,12,28,56,21,104,8,35,21.0833333333333,3,13,24,37,12,8,16,18,10,163,17,56,7,63,10,1,17,5.5,28,8,5.33333333333333,12,32,6,42.1666666666667,5,7.66666666666667,15,4,1.5,16.5,1.33333333333333,1.5,17,19,34,1,46
MOM.120,15303,1137,2770,687,8184,1638,7,267,90.5,0,617,10027,2023,3291,4504,5880,2023,1173,1248,9391,239,938,825,99,216,1699,57,1582,153,624,322,194,479,73,42,255,211,46,10,2.5,203,149,131,26,118,7941.16666666667,71,806,16,239,135,37,5,777,153,183,170,650,240,188,152,81,53,64,227,126,24,115,66,134,185,24.5,200,15,12,21,32.5,21,42,34,59,282,2,21,61,53,7,14,49,9,23,46,1,9,2,34,48,10,9,0,56,0,49,10,13,20,38,35,31,3,29,3,63,20,0,8,12,0,0,162,5,20,19,13,3,0,5,12,12,0,0,14,10,0,0,7.5,898.166666666667,5,0,0,4,10,0,34,10,218,7,0,12,15,0,1,4,6,10,45,0,0,11,148,0,58,7,9,2,0,10,3,24,6,3,0,6,0,0,124,19,7,13,0,11,75,17,15,0,29,5,5,296.716666666667,0,5,108.5,0,5,67,0,0,0.5,17,0,11.25,27.5,10.25,3.3,13,26,0,18,0
MOM.121,38750,855,546,470,3537,2802,10,149,20.5,6,2182,3058,435,1288,230,1199,1433,995,779,1429,227,343.333333333333,62,101,193,722,84,991,218,234.5,161,221,205,164,31,129,385,22,10,69,137,63,0,15,53,1146.41666666667,78,281,33,24,1372,51,6,1509,27,85,73.5,312,233,125,285,152,47,131,105,134,51,53,75,68,30,21.5,134,38,49,9,15,133,70,8,29,31,11,10,43,15,17,19,384,15,70,33,6,18,0,3,17,3,0,0,9,40,7,39,1,15,10,2,13,10,0,4,10,12.3333333333333,0,12,0,0,11,67,0,9.33333333333333,9,0,0,20,0,13,2,5,0,15,0,9,0,5,44.4166666666667,0,0,0,41,0,0,20,9,7,5,6,4,6,0,0,0,0,3,53,0,7,1,1,4,10,5,0,0,0,0,0,8,1,0,13,0,0,0,21,0,1,3,0,0,0,4,13,0,3,0,0,4.91666666666667,0,1,2.25,2,0,12,0,0,0,0,0,1,2,1,1,2,5,0,1,0
MOM.041,6310,79,134,103,458,358,33,77,10.5,0,598,668,128,292,92,214.5,384,122,115,264,33,82.6666666666667,5,25,31,113,22,269,51,43,44,29,39,21,1,9,172,0,0,18,58,2,0,14,8,144,7,18.5,27,0,267,0,0,498,6,0,66,66,59,32,84,16,6,72,26,0,34,12,24,5,11,1.5,1,20,65,1,1.5,9,16,0,1,0,0,12,0,10,21,0,55,0,35,42,0,14,0,0,1,13,0,0,6,35,0,0,8,4,1,0,0,6,0,1,0,1.66666666666667,0,1,0,0,0,3,0,1.66666666666667,0,0,0,12,0,0,9,0,0,0,0,0,0,0.5,8,0,6,0,0,0,3,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,2,16,0,4,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MOM.030,305123,31639,9605,25375.5,23069,23105,10,983,1417,9,19371.5,11873,9516,10705,4402,6020.5,11300,3171,5106,1368,1271,3132.83333333333,620,1577,1065,3503,630,2983,1335,1731,713,1566,755,1985,619,480,500,82,94,3810,1126,459,8,33,78,612.833333333333,2572,1608.5,241,6,1140,979,67,4612,150,387,2257,1727,2803,2133,1435,1634.5,877,362,777,337,1857,299,851,227,259,531,269,133,166,276,204.5,644,177,89,230,180,257,121,425,186,263,28,1129,202,66,361,242,255,225,112,334,223,159,47,83,383,88,179,25,107,70,70,53,499,24,55,66,71.5,21,57,61,50,36,14,35,32,87,7,71,71,58,66,48,74,34,41,22,28,16,71.5,21.8333333333333,36,14,39,52,38,41,99,12,24,31,23,13,37,34,49,7,13,14,25,79,93,9,14,6,38,23,8,29,36,14,47,7,17,27,3,33,11,13,20,19,7,22,28,33,8,35,10,47,22,2,15,4.5,48,10,3.56666666666667,26,14,9,4.5,6,9.5,13,2,1.4,4.5,2.66666666666667,1.4,5.5,21,39,2,52
MOM.103,35062,1543,1742,1234,5107,3305,19,283,185,10,2620,5752,1763,3151,2413,3039.5,2800,1137,1535,2347,223,755.666666666667,199,190,479,1423,103,1171,198,822.5,403,384,355,176,54,279,212,40,22,124.166666666667,336,81,6,4,50,1474.16666666667,143,842.5,93,64,1407,61,18,1355,68,136,465.5,512,327,170,367,184,72,127,147,88,132,125,126,55,108,93,128,47,46,38,24,48,38,16,25,81,46,43,44,45,19,9,237,10,64,130,5,8,16,13,35,21,7,0,34,33,0,33,3,45,33,16,22,0,10,9,23,27.6666666666667,0,24,2,1,4,41,0,20.6666666666667,0,10,0,9,5,21,5,3,15,14,20,7,9,6,51.1666666666667,3,9,0,3,0,0,6,12,26,5,0,7,9,1,3,4,1,0,0,0,1,15,6,10,0,0,0,0,0,3,4,3,0,3,7,2,0,1,20,2,0,7,0,0,7,0,20,6,0,0,0,20,0,3,3.33333333333333,14,9,15,4.16666666666667,0,0.666666666666667,19,6,0,0.5,0,0.333333333333333,0.5,4,9,1,0
